Key,Id,Chinese (Traditional)(zh-TW),English(en)
",您好",40571522199552,",您好",",Hello"
"Account",36535133745153,"使用者 ID","User ID"
"AppMenu",40508473421825,"功能選單","Menu"
"AppSystemName",36535133745152,"天茶 iBMS App","TCIT iBMS App"
"BTN001",40508473421826,"登入","Log in"
"BTN002",40508473421827,"登出","Log out"
"BTN003",40508473421828,"送出","Submit"
"BTN004",40508473421829,"確定","Confirm"
"BTN005",40508473421830,"取消","Cancel"
"BTN006",40508473421831,"檢視","View"
"BTN007",40508473421832,"處理","Process"
"BTN008",40508473421833,"紀錄","Record"
"BTN009",40508473421834,"批次點收確認","Batch receipt"
"BTN010",40508473421835,"未完工暫結","Pause"
"BTN011",40508473421836,"已完工出站","Completed"
"BTN012",40508473421837,"完工上傳","Submit"
"BTN013",40508473421838,"退件重送","Resubmite"
"BTN014",40508473421839,"巡檢結果儲存","Save Patrol Result"
"BTN015",40508473421840,"手抄數據儲存","Save Manual Data"
"BTN016",40508473421841,"更換耗材儲存","Replace"
"BTN017",40508473421842,"儲存處理前照片","Save Photos of Pre-Processing"
"BTN018",40508473421843,"切換","Change"
"BTN019",40508473421844,"全部選取","Select All"
"BTN020",40508473421845,"取消全選","Unselect All"
"BTN021",40508473421846,"回生產履歷","Return History"
"BTN022",40508473421847,"回產線作業","Return Production Line"
"BTN023",40508473421848,"修改","Modify"
"BTN024",40508473421849,"回巡檢單","Back to Order"
"BTN025",40508473421850,"回工單","Back to Order"
"BTN026",40508473421851,"儲存處理前照片","Save The Before Photo"
"BTN027",40508473421852,"暫結","Pause"
"BTN028",40508473421853,"回清單","Return"
"BTN029",40508473421854,"開始掃描","Turn on camera"
"BTN030",40508473421855,"停止掃描","Turn off camera"
"BTN031",40508473421856,"更新版本","Reload now"
"BTN032",40508473421857,"日保養","Daily Insp."
"BTN033",40508473421858,"開始","Start"
"BTN034",40508473421859,"接收","Accept"
"BTN035",40508473421860,"變更密碼","Change password"
"CWPF_1",40508473421861,"銲道表面研磨修補","Surface grinding and repair"
"CWPF_2",40508473421862,"銲道表面銲接修補","Surface welding repair"
"CWPF_3",40508473421863,"銲道內部銲接修補","Internal welding repair"
"CWPF_4",40508473421864,"鋼板表面修補","Steel plate surface repair"
"CWPF_5",40508473421865,"鋼板內部瑕疵","Internal defects of steel plate"
"C_AnnualPlan",40508473421866,"年度計畫","Annual Plan"
"C_Critical",40508473421867,"優先","Critical"
"C_NoChange",40508473421868,"無更換紀錄","No change"
"C_Normal",40508473421869,"一般","Normal"
"C_Running",40508473421870,"啟動","Running"
"C_Single",40508473421871,"臨時巡檢","Single"
"C_Start",40508473421872,"開始","Start"
"C_Stop",40508473421873,"停止","Stop"
"C_Urgent",40508473421874,"緊急","Urgent"
"Dialog",40508473421875,"對話視窗","Dialog"
"F001",40508473421876,"產線作業","Production Line"
"F0011",40508473421877,"產線作業掃描","QRcode Scanning"
"F002",40508473421878,"進料確認","Feed"
"F003",40508473421879,"檢測作業","N.D.T."
"F004",40508473421880,"生產履歷","Traceability"
"F0041",40508473421881,"生產履歷掃描","History QRcode scanning"
"F005",40508473421882,"設備巡檢","Inspection Orders"
"F0051",40508473421883,"巡檢掃描","QRcode Scanning"
"F006",40508473421884,"工單作業","Work Orders"
"F0061",40508473421885,"工單掃描","QRcode Scanning"
"F007",40508473421886,"設備報修","Repair"
"F0071",40508473421887,"報修掃描","QRcode Scanning"
"F008",40508473421888,"報修紀錄","Maintenance Record"
"F009",40508473421889,"設備維護","Device"
"F0091",40508473421890,"設備掃描","QRcode Scanning"
"F010",40508473421891,"設備履歷","History"
"F011",40508473421892,"建築能效",
"F012",40508473421893,"AI樓控",
"F013",40508473421894,"建築設備監控",
"F014",40508473421895,"聯網風盤",
"F015",40508473421896,"智慧照明",
"F016",40508473421897,"消防報警",
"F017",40508473421898,"安防監控",
"F018",40508473421899,"防盜報警",
"F019",40508473421900,"門禁系統",
"F020",40508473421901,"停車場管理",
"F021",40508473421902,"電子巡邏",
"F022",40508473421903,"訊息發布",
"F023",40508473421904,"各系統報警",
"F024",40508473421905,"新增交接紀錄","Add handover record"
"F025",40508473421906,"交接紀錄","handover record"
"F026",40508473421907,"變更密碼","Change Password"
"MSG001",40508473421908,"無符合之角色！","No matching roles !"
"MSG002",40508473421909,"登入失敗！","Login failed !"
"MSG003",40508473421910,"你是否確定進行此操作？","Are you sure ?"
"MSG004",40508473421911,"這是品保員操作站點，請重新掃描！","This is the QA site, please scan again!"
"MSG005",40508473421912,"這是產線操作員的站點，請重新掃描！","This is the production line operator's site, please rescan!"
"MSG006",40508473421913,"發生錯誤！","An error occurred !"
"MSG007",40508473421914,"無此銲道設定！","No such weld bead setup!"
"MSG008",40508473421915,"其他品保員","Other quality assurance staff"
"MSG009",40508473421916,"其他操作員","Other operators"
"MSG010",40508473421917,"作業中！","are working!"
"MSG011",40508473421918,"尚未銲接，無法進行 QC 作業！","Not welded yet, no QC work possible!"
"MSG012",40508473421919,"構件一尚未進料確認，請 QC 人員先進行進料確認。","Component 1 has not been confirmed by the incoming material, please ask QC personnel to confirm the incoming material first."
"MSG013",40508473421920,"構件二尚未進料確認，請 QC 人員先進行進料確認。","Component 2 has not been confirmed by the incoming material, please ask QC personnel to confirm the incoming material first."
"MSG014",40508473421921,"與API連線發生錯誤","Error in connecting to the API"
"MSG015",40508473421922,"其他人作業中！","Working with others!"
"MSG016",40508473421923,"照片數上限為 5 張！","Max. Limit 5 photos!"
"MSG017",40508473421924,"請至少選擇一項銲接方式！","Please select at least one welding method!"
"MSG018",40508473421925,"請輸入銲材編號！","Please enter the welding material number!"
"MSG019",40508473421926,"請輸入最後溫度！","Please enter the final temperature!"
"MSG020",40508473421927,"請附加拍照！","Please attach photos!"
"MSG021",40508473421928,"查無記錄！","No records found!"
"MSG022",40508473421929,"程式解析發生錯誤！","An error occurred in program analysis!"
"MSG023",40508473421930,"QR code 格式不正確！","Incorrect format in QR code!"
"MSG024",40508473421931,"請輸入設備巡檢總結！","Please enter the summary of equipment inspection!"
"MSG025",40508473421932,"請拍照異常情形！","Please take photos of the unusual situation!"
"MSG026",40508473421933,"第 N 項未選擇檢查結果！","Item N was not selected to check results!"
"MSG027",40508473421934,"請輸入完工說明！","Please enter completion instructions!"
"MSG028",40508473421935,"本次掃描需要站點 QR Code，操作者掃描的是構件 QR Code，請重新掃描！","This scan requires the site QR Code, and the operator scanned the component QR Code, please scan again!"
"MSG029",40508473421936,"本次掃描需要構件 QR Code，操作者掃描的是站點 QR Code，請重新掃描！","This scan requires component QR Code, the operator scanned the site QR Code, please scan again!"
"MSG030",40508473421937,"掃描內容無站點 QR Code，請重新掃描！","There is no site QR Code in the scanned content, please scan again!"
"MSG031",40508473421938,"掃描內容無構件 QR Code，請重新掃描！","There is no component QR Code in the scanned content, please scan again!"
"MSG032",40508473421939,"QR code 內容錯誤，無法完成 Json 字串解析。","The content of the QR code is wrong, and the Json string analysis cannot be completed."
"MSG033",40508473421940,"請輸入設備備註說明！","Please enter remarks for the device!"
"MSG034",40508473421941,"請附加處理後照片！","Please attach processed photos!"
"MSG035",40508473421942,"輸入使用者 ID","Enter User ID"
"MSG036",40508473421943,"輸入密碼","Enter Password"
"MSG037",40508473421944,"本次掃描需要站點 QR Code，操作者掃描的是設備 QR Code，請重新掃描 !","This scan requires the site QR Code, the operator scanned the device QR Code, please scan again!"
"MSG038",40508473421945,"請輸入異常描述！","Please enter issue!"
"MSG039",40508473421946,"新增成功！","Added successfully!"
"MSG040",40508473421947,"修改成功！","Successfully modified!"
"MSG041",40508473421948,"掃描內容無設備 QR Code，請重新掃描！","There is no device QR Code in the scanned content, please scan again!"
"MSG042",40508473421949,"非本設備 QR Code，請重新掃描！","Not the QR Code of this device, please scan again!"
"MSG043",40508473421950,"請進行處理前拍照!","Please take photos before processing!"
"MSG044",40508473421951,"系統有新版本，待更新","A new version was found."
"MSG045",40508473421952,"設備無日保養檢查表!","There is no daily maintenance checklist for this device!"
"MSG046",40508473421953,"系統無此設備!","The device does not exist!"
"MSG047",40508473421954,"密碼錯誤！","Wrong password !"
"MSG048",40508473421955,"請重新輸入新密碼","Please re-enter new password."
"Password",40508473421956,"密碼","Password"
"Remember",40508473421957,"記憶登入資訊","Remember"
"S001",40508473421958,"進料區_01","STORAGE_01"
"S002",40508473421959,"進料區_02","STORAGE_02"
"S003",40508473421960,"進料區_03","STORAGE_03"
"S004",40508473421961,"EVO捲板區","EVO Bending Roller"
"S005",40508473421962,"HDR捲板區","HDR Bending Roller"
"S006",40508473421963,"L內銲區","Long Inner Welding"
"S007",40508473421964,"L清根區","Long Seam Milling"
"S008",40508473421965,"L外銲區","Long Outer Welding"
"S009",40508473421966,"N.D.T.區_01","N.D.T._01"
"S010",40508473421967,"組對區","Assembly"
